Date,Open,High,Low,Close,Volume,Adj Close
2016-09-14,117.44,118.70,117.44,117.736,500,114.6336
2016-09-13,116.538,117.601,116.538,116.838,900,113.7593
2016-09-12,116.50,117.30,115.90,116.799,400,113.7213
2016-09-09,118.407,119.15,116.90,116.90,100,113.8197
2016-09-08,119.101,120.10,118.407,118.45,600,115.3288
2016-09-07,119.10,119.50,118.78,119.37,1400,116.2246
2016-09-06,119.583,119.589,118.00,119.114,1600,115.9753
2016-09-05,119.493,119.493,118.819,119.243,800,116.1009
2016-09-02,115.315,118.50,115.315,118.45,400,115.3288
2016-09-01,117.94,117.94,115.45,116.021,700,112.9638
2016-08-31,118.008,118.008,117.50,117.94,000,114.8323
2016-08-30,117.609,118.65,117.609,118.40,900,115.2801
2016-08-29,117.229,117.609,117.161,117.608,300,114.509
2016-08-26,117.659,117.659,116.87,117.158,600,114.0709
2016-08-25,117.21,118.10,116.95,117.949,700,114.841
2016-08-24,116.613,117.79,116.613,117.79,000,114.6862
2016-08-23,116.423,117.676,116.423,117.456,000,114.361
2016-08-22,118.00,118.021,116.30,116.737,700,113.6609
2016-08-19,116.737,117.45,116.162,117.45,200,114.3552
2016-08-18,116.255,116.84,116.163,116.163,200,113.1021
2016-08-17,116.961,117.501,116.35,116.80,400,113.7223
2016-08-16,117.95,118.10,116.424,117.287,700,114.1965
2016-08-15,117.61,118.50,117.60,118.049,1000,114.9384
2016-08-12,118.583,118.80,117.65,117.799,900,114.695
2016-08-11,115.00,119.183,114.717,118.605,5100,115.4797
2016-08-10,114.218,115.30,112.722,112.722,1400,109.7517
2016-08-09,111.475,114.564,111.475,114.282,700,111.2706
2016-08-08,112.238,112.238,111.541,111.541,300,108.6019
2016-08-05,110.693,112.05,110.693,111.65,1200,108.708
2016-08-04,110.606,110.90,109.601,110.90,200,107.9778
2016-08-03,110.80,111.15,110.20,110.606,100,107.6915
2016-08-02,111.491,111.80,110.236,110.39,300,107.4812
2016-08-01,111.80,112.50,111.55,111.909,800,108.9602
2016-07-29,111.006,111.558,110.30,111.558,1100,108.6184
2016-07-28,109.695,110.806,109.393,110.806,200,107.8862
2016-07-27,110.294,111.20,110.10,110.10,300,107.1988
2016-07-26,109.86,110.627,109.86,110.44,300,107.5299
2016-07-25,109.755,110.65,109.55,109.85,600,106.9554
2016-07-22,108.547,108.547,108.05,108.05,000,105.2029
2016-07-21,108.647,109.053,108.532,108.75,100,105.8844
2016-07-20,107.549,108.90,107.549,108.90,300,106.0305
2016-07-19,109.604,109.604,107.95,108.151,200,105.3012
2016-07-18,109.905,109.905,109.404,109.604,200,106.7159
2016-07-15,108.647,109.699,108.647,109.699,100,106.8084
2016-07-14,109.246,110.221,108.647,108.647,300,105.7841
2016-07-13,109.246,109.60,108.568,109.30,1800,106.4199
2016-07-12,110.442,110.62,109.70,109.805,1300,106.9116
2016-07-11,109.934,110.82,109.20,110.613,300,107.6983
2016-07-08,108.50,109.135,108.05,109.135,1100,106.2593
2016-07-07,108.302,109.60,108.302,108.90,700,106.0305
2016-07-06,109.45,109.45,107.85,108.352,200,105.4969
2016-07-05,110.244,110.40,109.579,109.579,3300,106.6916
2016-07-01,109.91,111.201,109.705,110.387,1100,107.4783
2016-06-30,108.39,110.50,107.996,109.82,1600,106.9262
2016-06-29,106.10,107.596,106.10,107.596,500,104.7608
2016-06-28,107.10,107.722,105.597,105.597,1000,102.8145
2016-06-27,104.10,107.447,104.10,105.75,3700,102.9635
2016-06-24,99.00,106.778,96.00,104.553,5700,101.798
2016-06-23,103.906,106.031,103.906,105.237,1300,102.464
2016-06-22,103.25,104.10,103.25,103.712,400,100.9792
2016-06-21,102.508,102.808,102.433,102.808,1200,100.099
2016-06-20,101.576,102.90,101.576,102.90,500,100.1886
2016-06-17,101.215,101.80,99.498,100.016,600,97.3806
2016-06-16,99.70,101.448,99.493,101.198,400,98.5314
2016-06-15,100.121,101.90,100.121,100.90,500,98.2413
2016-06-14,99.259,100.69,99.259,100.452,500,97.8051
2016-06-13,100.34,100.737,99.265,99.31,800,96.6932
2016-06-10,103.455,103.455,101.00,101.099,700,98.435
2016-06-09,104.053,104.053,103.60,103.60,300,100.8701
2016-06-08,104.403,104.403,104.15,104.40,300,101.649
2016-06-07,103.255,104.635,103.255,104.403,100,101.652
2016-06-06,104.23,104.23,103.50,103.579,300,100.8497
2016-06-03,103.555,104.745,103.555,104.745,000,101.9849
2016-06-02,104.006,104.594,103.509,103.754,2600,101.0201
2016-06-01,104.551,105.00,103.90,103.90,700,101.1622
2016-05-31,104.353,105.00,104.353,104.85,800,102.0872
2016-05-27,104.497,104.497,103.808,103.808,800,101.0726
2016-05-26,103.106,104.171,103.106,104.103,000,101.3599
2016-05-25,102.742,103.639,102.499,103.639,200,100.9081
2016-05-24,101.15,102.50,100.90,102.258,1000,99.5635
2016-05-23,101.768,102.332,101.25,101.84,1000,99.1565
2016-05-20,102.625,103.465,102.625,103.465,100,100.7387
2016-05-19,103.41,104.10,99.152,104.10,1400,101.3569
2016-05-18,100.373,101.768,100.00,101.171,900,98.5051
2016-05-17,102.18,102.70,100.871,100.871,600,98.213
2016-05-16,101.10,101.10,101.10,101.10,000,98.436
2016-05-13,101.958,101.958,101.079,101.10,100,98.436
2016-05-12,101.809,103.20,101.568,101.958,100,99.2714
2016-05-11,102.672,102.672,101.30,102.05,100,99.361
2016-05-10,101.41,103.251,101.41,103.251,000,100.5303
2016-05-09,99.913,102.00,99.913,101.439,500,98.7661
2016-05-06,100.063,100.063,100.063,100.063,200,97.4263
2016-05-05,99.393,100.479,99.393,100.30,000,97.6571
2016-05-04,99.574,100.00,99.50,99.676,500,97.0495
2016-05-03,99.80,100.20,99.169,99.82,100,97.1897
2016-05-02,99.264,99.977,99.011,99.913,600,97.2803
2016-04-29,101.00,101.00,99.916,99.916,100,97.2832
2016-04-28,101.11,101.589,100.00,101.35,800,98.6794
2016-04-27,101.64,101.64,100.85,101.30,300,98.6307
2016-04-26,101.509,101.987,100.50,101.329,1500,98.659
2016-04-25,102.892,102.892,101.75,102.174,600,99.4817
2016-04-22,103.015,103.35,102.20,102.20,300,99.507
2016-04-21,103.654,104.45,102.823,103.50,1600,100.7727
2016-04-20,103.06,104.20,103.06,103.954,1100,101.2148
2016-04-19,100.601,103.991,100.601,103.938,2100,101.1992
2016-04-18,99.47,100.568,99.01,100.33,1400,97.6863
2016-04-15,99.764,100.287,99.764,100.287,100,97.6444
